ID,Day,Incidence,Brand,Quantity,Last_Inc_Brand,Last_Inc_Quantity,Price_1,Price_2,Price_3,Price_4,Price_5,Promotion_1,Promotion_2,Promotion_3,Promotion_4,Promotion_5
1,1,0,0,0,0,0,1.59,1.87,2.01,2.09,2.66,0,1,0,0,0
1,11,0,0,0,0,0,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0
1,12,0,0,0,0,0,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0
1,16,0,0,0,0,0,1.52,1.89,1.98,2.09,2.66,0,0,0,0,0
1,18,0,0,0,0,0,1.52,1.89,1.99,2.09,2.66,0,0,0,0,0
1,23,0,0,0,0,0,1.5,1.9,1.99,2.09,2.66,0,0,0,0,0
1,28,1,2,2,0,0,1.5,1.9,1.99,2.09,2.67,0,0,0,0,0
1,37,0,0,0,2,1,1.5,1.9,1.99,2.09,2.67,0,0,0,0,0
1,41,0,0,0,0,0,1.35,1.58,1.97,2.09,2.67,1,1,1,0,0
1,43,0,0,0,0,0,1.35,1.58,1.97,2.09,2.67,1,1,1,0,0
1,51,0,0,0,0,0,1.35,1.87,1.93,2.09,2.59,1,1,1,0,0
1,58,1,5,1,0,0,1.39,1.9,1.91,2.12,2.62,1,0,0,0,1
1,59,0,0,0,5,1,1.39,1.9,1.91,2.12,2.62,1,0,0,0,0
1,77,0,0,0,0,0,1.36,1.85,1.95,2.12,2.5,0,1,0,0,0
1,78,0,0,0,0,0,1.47,1.85,1.95,2.12,2.5,0,0,0,0,1
1,83,0,0,0,0,0,1.47,1.9,1.99,2.12,2.49,0,0,0,0,1
1,90,0,0,0,0,0,1.39,1.58,1.99,2.12,2.55,0,1,0,0,0
1,92,0,0,0,0,0,1.39,1.46,1.99,2.12,2.4,0,0,0,0,0
1,98,0,0,0,0,0,1.47,1.9,1.95,2.12,2.67,0,0,0,0,0
1,110,1,1,2,0,0,1.47,1.9,1.99,1.97,2.67,0,0,0,1,0
1,111,0,0,0,1,1,1.47,1.9,1.99,1.97,2.67,1,1,0,0,0
1,118,0,0,0,0,0,1.43,1.31,1.99,2.16,2.67,0,1,0,0,0
1,125,0,0,0,0,0,1.39,1.84,1.93,2.16,2.67,1,0,0,0,0
1,137,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,1,0,0,0
1,142,1,4,1,0,0,1.21,1.35,1.99,2.16,2.68,1,1,0,0,0
1,149,0,0,0,4,1,1.39,1.9,1.99,2.16,2.64,1,0,0,0,0
1,160,0,0,0,0,0,1.39,1.9,1.94,2.16,2.62,1,0,0,0,0
1,161,0,0,0,0,0,1.39,1.9,1.94,2.16,2.62,1,0,0,0,0
